name,phone,email,city,area,pincode,state,category,notes
A R ENTERPRISES,+918777817658,,Kolkata,,700017,West Bengal,other,700017 · West Bengal
AARAMBH BRIDAL STUDIO,+919038069686,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
AKSH DESIGNS,,,Kolkata,New Alipore,700053,West Bengal,other,New Alipore · 700053 · West Bengal
ANAAYA CREATIONS(PURPLE PEACOCK),+918910001518,,Kolkata,,700026,West Bengal,other,700026 · West Bengal
ATWISHA FASHION HOUSE,+919331147100,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
B R K APPARELS,+919818299446,,Noida,,201301,Uttar Pradesh,other,201301 · Uttar Pradesh
B R KAPOOR & SONS PRIVATE LIMITED,,,Delhi,,110006,Delhi,other,110006 · Delhi
BHAIRAV EMBRO DESIGN PRIVATE LIMITED,+918700495456,,Delhi,Okhla Industrial Area Phase-1,110020,Delhi,embroidery,Okhla Industrial Area Phase-1 · 110020 · Delhi
BINOD KUMAR CHOUDHARY,+919830142090,,Kolkata,,700007,West Bengal,other,700007 · West Bengal
CELEBRATION CLOTHING PRIVATE LIMITED,+919820162480,,Mumbai,Dadar West,400028,Maharashtra,other,Dadar West · 400028 · Maharashtra
CHITRAKAR APPARELS PRIVATE LIMITED,,,Kolkata,Park Street,700016,West Bengal,other,Park Street · 700016 · West Bengal
DEAVYA FASHION DIVAS,,,Delhi,Kamla Nagar,110007,Delhi,other,Kamla Nagar · 110007 · Delhi
DIYA CREATIONS,+918851869989,,Delhi,"Mansarover Garden, Kirti Nagar",110015,Delhi,other,"Mansarover Garden, Kirti Nagar · 110015 · Delhi"
DORI DESIGN STUDIO,+919326464734,,Mumbai,,400028,Maharashtra,other,400028 · Maharashtra
FASHION BLOOMS,+918777084802,,Kolkata,,700053,West Bengal,other,700053 · West Bengal
FLAUNT,,,Kolkata,Salt Lake City,700064,West Bengal,other,Salt Lake City · 700064 · West Bengal
GEON ATTIRE,+919831874988,,Kolkata,,700007,West Bengal,other,700007 · West Bengal
HARYALI DESIGNER HUB,+919831350720,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
HOUSE OF RITAS PRIVATE LIMITED,,,Delhi,,110028,Delhi,other,110028 · Delhi
INIZIO TRENDZ(SAANSH),,,,,,West Bengal,other,West Bengal
ISHUM DESIGNS,+919818299443,,Noida,,201301,Uttar Pradesh,other,201301 · Uttar Pradesh
KALIGHATA R N FASHION,+918981205009,,Kolkata,,700084,West Bengal,other,700084 · West Bengal
KAMAKSHI,+919920078295,,Mumbai,"KAMAKSHI DESING STUDIO,10 BHOOMI PLAZA, MASJID GALLI, CEOSS BHAVANI SHANKAR ROAD, DADAR(W) MUMBAI-40",400028,Maharashtra,other,"KAMAKSHI DESING STUDIO,10 BHOOMI PLAZA, MASJID GALLI, CEOSS BHAVANI SHANKAR ROAD, DADAR(W) MUMBAI-40 · 400028 · Maharashtra"
KANYA,+91114150037,,Delhi,,110005,Delhi,other,110005 · Delhi · Delhi landline
KASAPA CREATION,+919810230747,,Delhi,"Tagore Garden , New Delhi",110027,Delhi,other,"Tagore Garden , New Delhi · 110027 · Delhi"
KIRTI CREATION,,,Delhi,,110028,Delhi,other,110028 · Delhi
M/s ORCHID,+918178127853,,Delhi,,110028,Delhi,other,110028 · Delhi
MAIDENS CREATION,+917021136150,,Mumbai,Dadar West,400028,Maharashtra,other,Dadar West · 400028 · Maharashtra
NARITVA,+919662057022,naritva68@gmail.com,Kolkata,,700017,West Bengal,other,700017 · West Bengal
NEHA COUTURE,+919930022113,,Mumbai,M J Marjket,400002,Maharashtra,other,M J Marjket · 400002 · Maharashtra
NIKHAAR FASHIONS HERITAGE,+919529345345,,Jaipur,Trimurti Circle,302004,Rajasthan,other,Trimurti Circle · 302004 · Rajasthan
NILESH CREATIONS,+91114019080,,Delhi,,110015,Delhi,other,110015 · Delhi · Delhi landline
NILIMA CREATIONS,+918910046625,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
NITYA) SARBANI SAREES PVT LTD kolkata,+919874183445,,Kolkata,Park Street,700016,West Bengal,other,Park Street · 700016 · West Bengal
ONAYA FASHIONS PRIVATE LIMITED,+916292240588,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
PRASHVVITA FASHION PRIVATE LIMITED,,,Mumbai,,400086,Maharashtra,other,400086 · Maharashtra
QUEEN'S CREATION,,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
R.F. DESIGHERS,+919829373990,,Jaipur,M.i Road Jaipur,302003,Rajasthan,other,M.i Road Jaipur · 302003 · Rajasthan
R.F.COUTURE,,,Jaipur,,302001,Rajasthan,other,302001 · Rajasthan · dummy number 1234567899 in old software — get the real one
RADHA TRADITIONS,,,Mumbai,Dadar West,400028,Maharashtra,other,Dadar West · 400028 · Maharashtra
RARO HOUSE OF FASHION PRIVATE LIMITED,+919999016771,,Delhi,Pvr,110028,Delhi,other,Pvr · 110028 · Delhi
RASIYA,+919811400262,,Delhi,Phase-1,110028,Delhi,other,Phase-1 · 110028 · Delhi
RITIKA & RASHIKA ENTERPRISE,,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
RITRAS FASHION DESIGNER STUDIO,+919831787026,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
ROOP RANG FASHION PRIVATE LIMITED,+919831007971,,Kolkata,Park Street,700016,West Bengal,other,Park Street · 700016 · West Bengal
ROSHANS SAREE PALACE PRIVATE LIMITED,,,Delhi,,110005,Delhi,other,110005 · Delhi
SAHELI FASHIONS PRIVATE LIMITED,,,Mumbai,Dadar West,400028,Maharashtra,other,Dadar West · 400028 · Maharashtra
SHUBHANDAM,,,Jaipur,,302003,Rajasthan,other,302003 · Rajasthan · dummy number 1234567890 in old software — get the real one
SONA AGRAWAL,+919831627654,,Kolkata,,700038,West Bengal,other,700038 · West Bengal
STUDIO AMAS,+918700496602,,Delhi,Okhla Industrial Area,110020,Delhi,other,Okhla Industrial Area · 110020 · Delhi
SUMAN SELECTION,+919874045670,,Kolkata,,700016,West Bengal,other,700016 · West Bengal
SUMAN'S LABEL,,,Kolkata,,700020,West Bengal,other,700020 · West Bengal
TANKHI DESIGNS1 PRIVATE LTD,+918369452674,,Mumbai,Goregaon East,400063,Maharashtra,other,Goregaon East · 400063 · Maharashtra
TANSHI FASHIONS PRIVATE LIMITED,,,Kolkata,Park Street,700016,West Bengal,other,Park Street · 700016 · West Bengal
THAKUR EXCLUSIVE,,,Delhi,,,Delhi,other,Delhi
THE MERAKI STUDIO,+917891099995,,Mumbai,,400028,Maharashtra,other,400028 · Maharashtra
UK CREATION,,,,,,West Bengal,other,West Bengal
USHA BAGRI,,,,,,West Bengal,other,West Bengal
VALRAH FASHION HOUSE,+919619611187,,Mumbai,,400028,Maharashtra,other,400028 · Maharashtra
VANNIKAA MALIK,,,Delhi,,110028,Delhi,other,110028 · Delhi
